angle,velocity,netDistanceFromBucket,outcome
299,16,80.88507960636598,0
72,29,63.13024010760359,0
275,3,136.77289644653825,0
150,6,154.26542050137522,0
189,39,95.68719229663681,0
175,39,88.52446283880565,0
29,7,102.29747725297887,0
295,32,43.934975477389585,0
356,9,79.65953570567295,0
45,0,130.47909687968848,0
315,24,88.01200289472489,0
162,31,85.37999557164926,0
51,40,139.08703723477,0
128,14,125.31834870413695,0
219,47,55.47452651919585,1
265,46,172.32819418980213,0
202,20,72.38330303762521,0
133,48,87.47404192304519,0
54,4,128.88344993063063,0
39,30,52.44479011110596,0
116,1,130.9727386741764,0
250,40,75.27396957658067,0
266,44,164.2393151401114,0
65,14,105.21784724861139,0
76,12,123.95435500260956,0
56,44,77.61155536014009,0
206,44,78.3782855092863,0
96,36,148.72025472363512,0
301,38,115.89002962626104,0
208,19,57.721894762644816,0
130,39,66.23716637292242,0
257,8,137.84705770536468,0
44,27,70.11678408799351,0
335,25,81.9362237896601,0
169,38,88.91812882393587,0
145,7,152.9979493029965,0
57,45,91.03364825800837,0
0,47,80.08129349247318,0
68,22,74.27441974250917,0
232,9,153.45061989677959,0
274,22,125.24909373870335,0
344,33,75.30068847227577,0
18,43,73.00900617811247,0
158,26,79.8171635318219,0
150,22,79.14439022344396,0
78,19,124.45668061453013,0
263,33,140.43060503510094,0
160,15,59.411656018593014,0
88,17,125.82320767956764,0
348,31,81.35744362188592,0
220,15,86.72789273402638,0
274,5,131.91802226688094,0
122,47,96.19529119628085,0
358,9,74.49082062479057,0
14,21,106.39823515610571,0
20,37,78.00060186504479,0
335,3,123.31343986552788,0
341,5,118.64932045239374,0
357,49,79.84922915992298,0
133,43,112.82849741928365,0
20,12,63.08061263401833,0
244,44,33.87377933142849,1
213,24,127.48923333810869,0
155,23,135.35475077284897,0
302,33,14.89299207076831,1
290,48,117.3287569489492,0
105,35,139.14889407552775,0
79,19,130.14324011917557,0
58,38,124.0658057653194,0
211,42,88.18833132326472,0
20,44,79.2112122978451,0
230,8,170.67805310622688,0
165,10,129.41239515226943,0
42,11,88.7023010640805,0
134,37,14.034577317593099,1
103,31,158.3927606949847,0
335,25,92.31377560997335,0
302,30,12.082556009013924,1
168,6,176.07063058177744,0
248,3,153.7454221371522,0
217,30,17.91637524108323,1
194,0,149.0354647188184,0
273,18,143.1642225542811,0
155,47,85.51668966537717,0
319,39,91.12267756072508,0
249,16,172.77293065298875,0
138,19,56.705256013089894,0
110,1,146.58848852730628,0
255,39,126.3861493898331,0
143,36,85.3458096111733,0
325,42,93.33114148168988,0
291,45,92.06206485608442,0
292,10,138.12080592509992,0
59,44,96.44423169279155,0
319,38,100.6456165944907,0
32,23,145.61488707076464,0
288,2,151.20605942146616,0
150,7,169.89468451811956,0
173,23,112.28792874579355,0
193,2,157.2255862339851,0
203,37,77.78881839876486,0
197,21,108.94039159101733,0
228,38,68.27260135839131,0
327,2,146.81993510608433,0
347,27,92.25239493758203,0
106,17,166.13794980123336,0
293,43,81.30954570448456,0
207,35,104.99260356609186,0
107,49,120.10331383794204,0
137,11,144.89999257806352,0
100,10,145.74327824662132,0
63,45,143.85586322460654,0
115,6,158.8429814717295,0
229,10,164.07576375066853,0
202,27,78.92143978245896,0
134,41,51.83937753283134,1
273,20,140.62228084075522,0
188,0,137.7684178944081,0
65,45,143.8312363485498,0
114,39,87.8247896098965,0
124,44,86.87698903838833,0
24,23,101.03621912585966,0
193,27,84.42440270938462,0
321,15,53.852021060013506,0
256,9,147.911059010997,0
271,9,137.7925355595542,0
229,41,77.67893509455837,0
199,37,74.77649153706132,0
223,44,82.73050447494,0
94,20,137.77193213023367,0
105,29,144.70558212861874,0
56,6,132.53803190700916,0
303,30,53.62934434724233,0
67,24,59.08976157115534,0
159,4,149.8084152500175,0
68,30,48.998201407835914,0
29,48,86.34370189963468,0
166,35,83.2505308804126,0
159,31,102.45648778081514,0
69,41,72.65378875981526,0
142,27,54.03367761688234,0
178,34,82.30614115199526,0
83,12,132.3630983437142,0
191,36,84.85934785371596,0
188,18,67.6770157959091,0
329,21,88.88632838421309,0
122,24,62.26505236708014,0
311,4,141.99326077167518,0
209,5,157.02948623334996,0
107,30,124.88504667101974,0
55,28,21.88161151516031,1
130,33,117.29276836114525,0
6,3,128.94296400300618,0
275,7,138.65576034790135,0
247,13,157.55570131646556,0
257,6,132.51907604947363,0
327,4,135.1784684998178,0
340,10,71.87204973737994,0
127,24,61.01987072329171,0
50,21,43.54665627565167,0
131,23,51.33848242473492,0
245,45,36.20417670192773,1
357,21,98.86271393041125,0
15,4,122.8378159188554,0
318,48,75.88909738517387,0
242,17,137.59126676195285,0
226,38,17.317441586898887,1
9,30,94.3793699415828,0
157,14,83.06245371434551,0
223,15,108.78989090164927,0
215,25,107.892014935384,0
240,40,115.44270423104182,0
124,1,139.03579308836873,0
108,33,111.27478964359003,0
271,21,137.6232436774509,0
289,1,133.90849845244904,0
168,24,92.2198452938267,0
14,2,139.12053183884098,0
336,16,49.10290119336268,0
356,45,89.21040041758795,0
343,11,59.1298079083576,0
1,27,87.47146905676742,0
211,10,132.43547580135203,0
194,22,115.05007665338609,0
309,46,111.28850964303906,0
247,12,160.3305589840672,0
143,8,155.67768066135653,0
112,29,92.81171570466039,0
82,35,122.5807748311967,0
44,26,67.32756861714883,0
262,13,143.00636676022617,0
315,32,67.95354938678001,0
72,18,105.58745584169586,0
227,46,93.51431893936866,0
91,38,142.70277946464415,0
353,45,89.04187163875326,0
46,36,49.97348207307703,1
31,48,66.1436129309294,0
